# Number of simulations: 100
# One compartment simulation; White noise sigma=7; Broad stimulus; gpas parameter; dt=0.05
# 2.6 GHz Intel Core i7; 8 GB 1600 MHz DDR3; macOS Sierra 10.12.1
# The simulation was running for 46.935087 minutes
# 
# sigma	diff	pdiff	sharper
-8.100291076663346654e-07	4.004004004003994428e-07	8.945189583901169783e+01	2.472454090150252526e+01
-7.279268808058734380e-07	5.005005005004993035e-07	7.871623352212840530e+01	2.757914338919925612e+01
-8.871293022191349800e-07	4.004004004004129954e-07	8.764315412732923960e+01	2.267993874425722822e+01
-1.420904109934002691e-06	1.101101101101112020e-06	7.600969524230262664e+01	1.393226716839134660e+01
-5.161880818538277321e-07	6.006006006005991642e-07	5.559425369632629099e+01	3.444186046511637755e+01
6.071927283493790370e-07	1.001001001000998607e-07	9.974292194984376181e+01	2.439868204283355269e+01
-1.539534056164010690e-06	3.003003003003131346e-07	9.867963370069622897e+01	1.291194420226678474e+01
5.576741695214513484e-07	2.002002002001997214e-07	9.777507516102728857e+01	2.493265993265987035e+01
-8.709701559688552932e-07	7.007007007007125775e-07	6.803107145896161967e+01	2.184365781710909360e+01
-1.200513816555913990e-06	1.001001001001134132e-07	9.960195501448789912e+01	1.623903508771928372e+01
