# Number of simulations: 100
# One compartment simulation; White noise sigma=7; Broad stimulus; cm parameter; dt=0.05
# 2.6 GHz Intel Core i7; 8 GB 1600 MHz DDR3; macOS Sierra 10.12.1
# The simulation was running for 46.935087 minutes
# sigma	diff	pdiff	sharper
3.667550157858776722e-02	5.405405405405416808e-02	3.572588419700023366e+01	5.416971470373077580e+00
-3.914721351258251825e-02	1.201201201201196334e-02	9.538437519403754550e+01	5.077134041823789801e+00
6.361122044873177006e-02	4.104104104104111528e-02	8.145720336678451190e+01	3.124472573839664147e+00
4.427423614520926282e-02	1.901901901901892344e-02	9.167175254881985325e+01	4.483802603693612276e+00
4.913178640478310655e-02	2.402402402402392667e-02	8.906794579844887494e+01	4.047553976496312877e+00
4.317187728764943638e-02	6.406406406406417453e-02	3.219607866877114333e+01	4.606531881804041717e+00
6.804350446201233582e-02	3.603603603603611205e-02	8.707890308812029900e+01	2.919377094421441665e+00
7.061129315775958870e-02	1.401401401401392022e-02	9.806410715979872350e+01	2.813984419532586045e+00
7.581185632218570558e-02	5.005005005005025431e-02	8.028163051012826656e+01	2.621238938053095158e+00
4.546857702453952627e-02	1.501501501501500968e-02	9.459438299709475473e+01	4.375184638109306690e+00
4.770488484008002239e-02	4.004004004003913764e-03	9.960575685950342972e+01	4.169481981981979501e+00
6.768290656984252140e-02	3.403403403403393312e-02	8.818539863296065562e+01	2.933835182250395412e+00
5.904669581642375820e-02	5.805805805805808184e-02	6.286414543259305532e+01	3.364379827351204888e+00
4.791975621689894410e-02	3.203203203203197624e-02	8.092594741937413971e+01	4.148459383753499985e+00
5.875779337516389561e-02	4.404404404404416162e-02	7.604759065507602145e+01	3.389016018306634681e+00
5.018051510299296331e-02	2.002002002001956882e-03	9.988707026795307797e+01	3.955662393162394874e+00
-4.212503846602922569e-02	2.002002002001956882e-03	9.985032605852049414e+01	4.716560509554138747e+00
7.015080751873072062e-02	5.405405405405416808e-02	7.404079266242722213e+01	2.832281506980298680e+00
4.339065124783961919e-02	4.204204204204198270e-02	6.354565002620028480e+01	4.576637824474660832e+00
4.311193604857650741e-02	3.103103103103099780e-02	7.697120297308383385e+01	4.605099502487561836e+00
6.756065806080674419e-02	8.108108108108103007e-02	4.998097625048474413e+01	2.942578978740314710e+00
3.438503478500502808e-02	3.003003003003001936e-02	6.892597138416024904e+01	5.780640124902421739e+00
6.171893979978143596e-02	9.109109109109114755e-02	3.276062044708065457e+01	3.216768027801908403e+00
6.469733020855361616e-02	1.121121121121120279e-01	2.453637530718117432e+01	3.069430051813469618e+00
7.236094301728362987e-02	2.202202202202219183e-02	9.548078478836009708e+01	2.746152419803450151e+00
4.631665604885060877e-02	4.504504504504514006e-02	6.361926256989816153e+01	4.289024037069214756e+00
7.176242522887063546e-02	4.004004004004002581e-02	8.578143934924959524e+01	2.770295548073326231e+00
6.287025498573826920e-02	6.406406406406395249e-02	6.094173965021243333e+01	3.157782515991472305e+00
8.126424523754140206e-02	3.303303303303306571e-02	9.248547591266189727e+01	2.445104837378238916e+00
9.337507993184673838e-02	3.003003003003046345e-03	9.995809199096763109e+01	2.129097182288671952e+00
4.539457834352177840e-02	3.603603603603600103e-02	7.329018048692115883e+01	4.377771208986108498e+00
4.225867294725962203e-02	3.403403403403393312e-02	7.218130580413001951e+01	4.703080342966019067e+00
5.227655218722797315e-02	9.009009009008916991e-03	9.839905306872373103e+01	3.803287108371854242e+00
8.306567276032437996e-02	7.707707707707700528e-02	6.622524586569601013e+01	2.391409656063294253e+00
3.465301769053514419e-02	2.802802802802806248e-02	7.214364450811319784e+01	5.731424148606807378e+00
3.782154611615560352e-02	2.302302302302305925e-02	8.364725123557124675e+01	5.249911378943639129e+00
7.834703561036386599e-02	2.102102102102099135e-02	9.660355982085410176e+01	2.536393218016783191e+00
3.573223755355454945e-02	2.602602602602610560e-02	7.729532717247751350e+01	5.561396920766054741e+00
4.905324425058839310e-02	1.601601601601598812e-02	9.502371561106531317e+01	4.049767569045665816e+00
6.041191154963893722e-02	8.808808808808810120e-02	3.697767015496304310e+01	3.288918498778590660e+00
